                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8146,                 17.376,                 5.2544,                      0,                      0,                      0,                      0,                 6.0944,                  10.58,                 4.1676,                0.00028,                0.00028,                0.00028
                      2,                 3.8046,                 10.688,                 4.1276,                      0,                      0,                      0,                      0,                 6.1104,                 10.502,                 4.1938,             0.00052258,             0.00052258,             0.00052258
                      3,                 3.0745,                 7.4511,                 3.4936,                      0,                      0,                      0,                      0,                 6.1538,                  9.643,                 4.2671,             0.00070576,             0.00070576,             0.00070576
                      4,                 2.7352,                 5.4297,                 2.8236,                      0,                      0,                      0,                      0,                 6.2205,                 8.6871,                 4.3881,             0.00082954,             0.00082954,             0.00082954
                      5,                 2.4725,                  4.674,                 2.4987,                      0,                      0,                      0,                      0,                 6.2787,                  8.662,                 4.5184,             0.00089392,             0.00089392,             0.00089392
                      6,                 2.2199,                 3.8322,                 2.1689,                      0,                      0,                      0,                      0,                 6.2982,                 8.2637,                  4.584,              0.0008989,              0.0008989,              0.0008989
                      7,                 2.2671,                 3.5029,                 2.1909,                0.00138,                 0.3875,                0.07219,                0.01667,                 2.5448,                 5.5626,                 2.8837,               0.000812,               0.000812,               0.000812
                      8,                 2.1829,                 3.3401,                 2.0123,                0.00244,                0.67917,                0.53309,                0.21464,                 2.1102,                 3.7018,                 2.1743,               0.000812,               0.000812,               0.000812
                      9,                 2.1148,                 3.2118,                 2.0023,                0.89409,                0.56278,                0.71345,                 0.3195,                 1.8706,                 2.8845,                 1.9241,               0.000614,               0.000614,               0.000614
                     10,                 2.0308,                 2.9483,                 1.9794,                0.77246,                0.67083,                0.68335,                0.29686,                 2.0255,                 2.4961,                 1.9053,               0.000416,               0.000416,               0.000416
